70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-23/17-30-58.689,7.305,7.307,1.3,5.0,26.20,26.21,16.716,3.224
24-01-23/17-31-01.585,7.304,7.306,6.8,5.3,26.20,26.21,0.856,86.946
24-01-23/17-31-04.837,7.308,7.310,20.5,83.9,26.20,26.21,14.382,2.764
24-01-23/17-31-07.763,7.308,7.309,22.1,10.0,26.21,26.22,15.453,36.426
24-01-23/17-31-10.641,7.306,7.307,22.2,46.7,26.20,26.21,2.532,12.229
24-01-23/17-31-13.928,7.302,7.304,1.1,12.8,26.17,26.18,88.975,6.666
24-01-23/17-31-17.129,7.305,7.307,11.3,48.8,26.20,26.21,7.758,38.705
24-01-23/17-31-20.184,7.306,7.307,24.2,48.8,26.19,26.20,79.350,3.363
24-01-23/17-31-22.524,7.312,7.313,20.5,229.8,26.21,26.22,18.101,14.832
24-01-23/17-31-25.721,7.314,7.317,1.2,124.7,26.21,26.22,15.156,33.620
24-01-23/17-31-28.979,7.309,7.311,10.4,1.9,26.19,26.20,16.616,18.897
24-01-23/17-31-31.981,7.308,7.312,57.5,178.8,26.17,26.18,91.504,39.523
24-01-23/17-31-34.970,7.304,7.307,1.2,21.5,26.17,26.18,20.109,71.472
24-01-23/17-31-37.624,7.304,7.306,1.2,87.5,26.15,26.16,28.048,57.948
24-01-23/17-31-41.062,7.302,7.304,3.2,20.5,26.15,26.16,27.193,19.376
24-01-23/17-31-44.070,7.301,7.303,1.6,53.7,26.14,26.15,137.097,22.609
24-01-23/17-31-46.716,7.302,7.303,1.8,60.0,26.13,26.14,40.493,28.237
24-01-23/17-31-50.013,7.297,7.299,10.9,83.8,26.09,26.10,7.729,3.397
24-01-23/17-31-53.169,7.297,7.298,10.0,69.4,26.09,26.10,0.383,65.628
24-01-23/17-31-55.888,7.295,7.296,3.5,68.1,26.10,26.11,11.192,31.162
24-01-23/17-31-58.752,7.295,7.296,2.0,63.1,26.10,26.11,0.856,17.381
24-01-23/17-32-01.863,7.294,7.295,2.3,67.8,26.11,26.12,11.073,51.713
24-01-23/17-32-04.781,7.295,7.296,19.0,192.9,26.10,26.11,34.553,0.729
24-01-23/17-32-08.127,7.296,7.297,16.4,58.9,26.12,26.13,9.965,27.501
24-01-23/17-32-11.117,7.293,7.296,92.7,5.4,26.11,26.12,13.386,29.381
24-01-23/17-32-14.012,7.288,7.291,36.2,32.0,26.10,26.11,10.529,56.450
24-01-23/17-32-17.078,7.282,7.283,137.8,24.0,26.07,26.08,4.010,41.657
